Sample_ID,Condition,Breed,Sex,Age,Horse_ID
LB2BBE9071,control,Arabian,mare,4,H25
LB2BBE9345,control,Arabian,mare,3,H10
LB2BBE9363,control,Thoroughbred,mare,3,H1
LB2BBE9406,control,Thoroughbred,stallion,4,H18
LB2BBE9460,control,Thoroughbred,stallion,2,H62
LB2BBE9488,control,Thoroughbred,stallion,2,H60
LB2BBE9822,control,Arabian,mare,3,H46
LB2BBF0031,control,Arabian,stallion,4,H24
LB2BBF0457,control,Thoroughbred,mare,3,H37
LB2BBF0970,control,Arabian,stallion,4,H20
LB2BBF1119,control,Thoroughbred,mare,3,H47
LB2BBF1137,control,Arabian,stallion,3,H16
LB2BBE9080,case,Arabian,mare,4,H25
LB2BBE9354,case,Arabian,mare,3,H10
LB2BBE9372,case,Thoroughbred,mare,3,H1
LB2BBE9415,case,Thoroughbred,stallion,4,H18
LB2BBE9479,case,Thoroughbred,stallion,2,H62
LB2BBE9497,case,Thoroughbred,stallion,2,H60
LB2BBE9831,case,Arabian,mare,3,H46
LB2BBF0040,case,Arabian,stallion,4,H24
LB2BBF0466,case,Thoroughbred,mare,3,H37
LB2BBF0989,case,Arabian,stallion,4,H20
LB2BBF1128,case,Thoroughbred,mare,3,H47
LB2BBF1146,case,Arabian,stallion,3,H16
